time,theta,zeta_wall
0.000000,0.000000,4.07740560e-04
0.000000,0.098175,4.05777178e-04
0.000000,0.196350,3.99905939e-04
0.000000,0.294524,3.90183388e-04
0.000000,0.392699,3.76703158e-04
0.000000,0.490874,3.59595070e-04
0.000000,0.589049,3.39023885e-04
0.000000,0.687223,3.15187715e-04
0.000000,0.785398,2.88316115e-04
0.000000,0.883573,2.58667873e-04
0.000000,0.981748,2.26528518e-04
0.000000,1.079922,1.92207569e-04
0.000000,1.178097,1.56035557e-04
0.000000,1.276272,1.18360837e-04
0.000000,1.374447,7.95462371e-05
0.000000,1.472622,3.99655637e-05
0.000000,1.570796,2.49669086e-20
0.000000,1.668971,-3.99655637e-05
0.000000,1.767146,-7.95462371e-05
0.000000,1.865321,-1.18360837e-04
0.000000,1.963495,-1.56035557e-04
0.000000,2.061670,-1.92207569e-04
0.000000,2.159845,-2.26528518e-04
0.000000,2.258020,-2.58667873e-04
0.000000,2.356194,-2.88316115e-04
0.000000,2.454369,-3.15187715e-04
0.000000,2.552544,-3.39023885e-04
0.000000,2.650719,-3.59595070e-04
0.000000,2.748894,-3.76703158e-04
0.000000,2.847068,-3.90183388e-04
0.000000,2.945243,-3.99905939e-04
0.000000,3.043418,-4.05777178e-04
0.000000,3.141593,-4.07740560e-04
0.000000,3.239767,-4.05777178e-04
0.000000,3.337942,-3.99905939e-04
0.000000,3.436117,-3.90183388e-04
0.000000,3.534292,-3.76703158e-04
0.000000,3.632467,-3.59595070e-04
0.000000,3.730641,-3.39023885e-04
0.000000,3.828816,-3.15187715e-04
0.000000,3.926991,-2.88316115e-04
0.000000,4.025166,-2.58667873e-04
0.000000,4.123340,-2.26528518e-04
0.000000,4.221515,-1.92207569e-04
0.000000,4.319690,-1.56035557e-04
0.000000,4.417865,-1.18360837e-04
0.000000,4.516039,-7.95462371e-05
0.000000,4.614214,-3.99655637e-05
0.000000,4.712389,-7.49007257e-20
0.000000,4.810564,3.99655637e-05
0.000000,4.908739,7.95462371e-05
0.000000,5.006913,1.18360837e-04
