time,theta,zeta_wall
0.000000,0.000000,3.14693958e-02
0.000000,0.098175,3.13178621e-02
0.000000,0.196350,3.08647202e-02
0.000000,0.294524,3.01143342e-02
0.000000,0.392699,2.90739307e-02
0.000000,0.490874,2.77535294e-02
0.000000,0.589049,2.61658463e-02
0.000000,0.687223,2.43261719e-02
0.000000,0.785398,2.22522232e-02
0.000000,0.883573,1.99639734e-02
0.000000,0.981748,1.74834596e-02
0.000000,1.079922,1.48345705e-02
0.000000,1.178097,1.20428164e-02
0.000000,1.276272,9.13508341e-03
0.000000,1.374447,6.13937456e-03
0.000000,1.472622,3.08454019e-03
0.000000,1.570796,1.92694474e-18
0.000000,1.668971,-3.08454019e-03
0.000000,1.767146,-6.13937456e-03
0.000000,1.865321,-9.13508341e-03
0.000000,1.963495,-1.20428164e-02
0.000000,2.061670,-1.48345705e-02
0.000000,2.159845,-1.74834596e-02
0.000000,2.258020,-1.99639734e-02
0.000000,2.356194,-2.22522232e-02
0.000000,2.454369,-2.43261719e-02
0.000000,2.552544,-2.61658463e-02
0.000000,2.650719,-2.77535294e-02
0.000000,2.748894,-2.90739307e-02
0.000000,2.847068,-3.01143342e-02
0.000000,2.945243,-3.08647202e-02
0.000000,3.043418,-3.13178621e-02
0.000000,3.141593,-3.14693958e-02
0.000000,3.239767,-3.13178621e-02
0.000000,3.337942,-3.08647202e-02
0.000000,3.436117,-3.01143342e-02
0.000000,3.534292,-2.90739307e-02
0.000000,3.632467,-2.77535294e-02
0.000000,3.730641,-2.61658463e-02
0.000000,3.828816,-2.43261719e-02
0.000000,3.926991,-2.22522232e-02
0.000000,4.025166,-1.99639734e-02
0.000000,4.123340,-1.74834596e-02
0.000000,4.221515,-1.48345705e-02
0.000000,4.319690,-1.20428164e-02
0.000000,4.417865,-9.13508341e-03
0.000000,4.516039,-6.13937456e-03
0.000000,4.614214,-3.08454019e-03
0.000000,4.712389,-5.78083423e-18
0.000000,4.810564,3.08454019e-03
0.000000,4.908739,6.13937456e-03
0.000000,5.006913,9.13508341e-03
0.000000,5.105088,1.20428164e-02
0.000000,5.203263,1.48345705e-02
0.000000,5.301438,1.74834596e-02
0.000000,5.399612,1.99639734e-02
0.000000,5.497787,2.22522232e-02
0.000000,5.595962,2.43261719e-02
0.000000,5.694137,2.61658463e-02
0.000000,5.792311,2.77535294e-02
0.000000,5.890486,2.90739307e-02
0.000000,5.988661,3.01143342e-02
0.000000,6.086836,3.08647202e-02
0.000000,6.185011,3.13178621e-02
0.010000,0.000000,3.12501008e-02
0.010000,0.098175,3.14631341e-02
0.010000,0.196350,3.13731603e-02
0.010000,0.294524,3.09810458e-02
0.010000,0.392699,3.02905669e-02
0.010000,0.490874,2.93083732e-02
0.010000,0.589049,2.80439239e-02
0.010000,0.687223,2.65093963e-02
0.010000,0.785398,2.47195687e-02
0.010000,0.883573,2.26916782e-02
0.010000,0.981748,2.04452544e-02
0.010000,1.079922,1.80019316e-02
0.010000,1.178097,1.53852403e-02
0.010000,1.276272,1.26203808e-02
0.010000,1.374447,9.73398016e-03
0.010000,1.472622,6.75383593e-03
0.010000,1.570796,3.70864858e-03
0.010000,1.668971,6.27744905e-04
0.010000,1.767146,-2.45920429e-03
0.010000,1.865321,-5.52247001e-03
0.010000,1.963495,-8.53255132e-03
0.010000,2.061670,-1.14604595e-02
0.010000,2.159845,-1.42779972e-02
0.010000,2.258020,-1.69580300e-02
